MountMgrCreatePoint                       PAGE  0001A140 0000008C R . . . B T . [UNIMPLEMENTED]
MountMgrDeletePoints                      PAGE  0001A222 000001F9 R . . . B T . [UNIMPLEMENTED]
ProcessSuggestedDriveLetters              PAGE  0001A43C 000000BE R . . . B . . [ IMPLEMENTED ]
MountMgrNextDriveLetterWorker             PAGE  0001A558 0000027A R . . . B . . [ IMPLEMENTED ]
MountMgrNextDriveLetter                   PAGE  0001A7D8 0000006E R . . . B . . [ IMPLEMENTED ]
MountMgrVolumeMountPointChanged           PAGE  0001A84C 00000348 R . . . B T . [UNIMPLEMENTED]
MountMgrVolumeMountPointCreated           PAGE  0001AB9A 000003B5 R . . . B T . [UNIMPLEMENTED]
MountMgrVolumeMountPointDeleted           PAGE  0001AF54 000002D0 R . . . B T . [UNIMPLEMENTED]
ReconcileAllDatabasesWithMaster           PAGE  0001B22A 0000002C R . . . B . . [ IMPLEMENTED ]
MountMgrAssignDriveLetters                PAGE  0001B25C 000000E2 R . . . B . . [UNIMPLEMENTED]
MountMgrQueryDosVolumePaths               PAGE  0001B344 0000017D R . . . B . . [UNIMPLEMENTED]
MountMgrUniqueIdChangeRoutine             PAGE  0001B518 00000235 R . . . B T . [ IMPLEMENTED ]
UniqueIdChangeNotifyWorker                PAGE  0001B752 000000F0 R . . . B T . [ IMPLEMENTED ]
IssueUniqueIdChangeNotifyWorker           PAGE  0001B848 0000011D R . . . B T . [ IMPLEMENTED ]
IssueUniqueIdChangeNotify                 PAGE  0001B96A 000001AA R . . . B T . [ IMPLEMENTED ]
MountMgrMountedDeviceArrival              PAGE  0001BBEA 00000A5E R . . . B . . [ IMPLEMENTED ]
MountMgrMountedDeviceNotification         PAGE  0001C64E 00000081 R . . . B T . [ IMPLEMENTED ]
MountMgrCheckUnprocessedVolumes           PAGE  0001C6D4 00000094 R . . . B . . [UNIMPLEMENTED]
MountMgrVolumeArrivalNotification         PAGE  0001C76E 00000087 R . . . B . . [UNIMPLEMENTED]
MountMgrDeviceControl                     PAGE  0001C7FA 00000228 R . . . B . . [ IMPLEMENTED ]
MountmgrReadNoAutoMount                   INIT  0001D01E 0000005D R . . . B . . [ IMPLEMENTED ]
GsDriverEntry                             INIT  0001D2AF 00000047 R . . . B T . [ IMPLEMENTED ]

TOTAL      : 107
IMPLEMENTED: 043
% COMPLETED: 040
