DiskUpdateGeometry(x)                              PAGE  00021B98 00000274 R . . . B . . [ IMPLEMENTED ]
DiskUpdateRemovableGeometry(x)                     PAGE  00021FC6 000000D9 R . . . B T . [ IMPLEMENTED ]
DiskReadPartitionTableEx(x,x,x)                    PAGE  00022292 0000019A R . . . B T . [ IMPLEMENTED ]
DiskWritePartitionTableEx(x,x)                     PAGE  00022460 0000004A R . . . B . . [ IMPLEMENTED ]
DiskSetPartitionInformationEx(x,x,x)               PAGE  000224DE 0000004F R . . . B T . [ IMPLEMENTED ]
DiskAddDevice(x,x)                                 PAGE  00022706 00000194 R . . . B T . [ IMPLEMENTED ]
DiskStartPdo(x)                                    PAGE  000228F6 0000003E R . . . . . . [ IMPLEMENTED ]
DiskQueryId(x,x,x)                                 PAGE  00022A98 000001FD R . . . B . . [UNIMPLEMENTED]
DiskGenerateDeviceName(x,x,x,x,x,x)                PAGE  00022F50 000001CA R . . . B T . [ IMPLEMENTED ]
DiskCreateSymbolicLinks(x)                         PAGE  00023294 000001B5 R . . . B T . [ IMPLEMENTED ]
DiskDeleteSymbolicLinks(x)                         PAGE  0002358C 00000154 R . . . B T . [UNIMPLEMENTED]
DiskRemoveDevice(x,x)                              PAGE  0002373C 0000016D R . . . B T . [UNIMPLEMENTED]
DiskStartFdo(x)                                    PAGE  00023A56 00000203 R . . . B T . [ IMPLEMENTED ]
DiskInitFdo(x)                                     PAGE  00023D92 0000034A R . . . B . . [ IMPLEMENTED ]
DiskInitPdo(x)                                     PAGE  0002417A 000000C9 R . . . B T . [ IMPLEMENTED ]
DriverEntry(x,x)                                   INIT  00026006 00000219 R . . . B . . [ IMPLEMENTED ]
DiskSaveGeometryDetectInfo(x,x)                    INIT  000263C8 00000197 R . . . B T . [ IMPLEMENTED ]
DiskSaveBusDetectInfo(x,x,x)                       INIT  000267E8 000001C1 R . . . B T . [ IMPLEMENTED ]
DiskScanBusDetectInfo(x,x)                         INIT  00026BB8 00000331 R . . . B T . [ IMPLEMENTED ]
DiskSaveDetectInfo(x)                              INIT  0002706C 000001A1 R . . . B T . [ IMPLEMENTED ]

TOTAL      : 101
IMPLEMENTED: 064
% COMPLETED: 064
